City/Town,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Commerce City,46145,47542,48546,49795,51600,53357,54788,56169,58444,60392
Federal Heights,11506,11755,11987,12321,12612,13170,13514,13775,13940,13898
Alamosa,8812,8925,8934,9010,9061,9128,9213,9307,9410,9419
Hooper,103,104,103,103,101,101,101,100,100,99
Centennial,101186,102713,104457,106842,107589,109077,109727,110672,110955,111096
Cherry Hills Village,6019,6124,6247,6380,6471,6578,6661,6645,6651,6650
Columbine Valley,1258,1278,1303,1324,1345,1407,1450,1478,1482,1478
Deer Trail,547,555,564,572,582,617,689,696,731,805
Englewood,30291,30715,31197,31643,32450,33484,34598,34778,34963,35268
Foxfield,689,701,715,756,766,775,782,776,778,776
Glendale,4189,4250,4322,4386,4970,5030,5056,5015,5026,5013
Greenwood Village,13942,14185,14439,14672,15362,16057,16186,16098,16146,16116
Sheridan,5671,5746,5849,5913,5950,6027,6080,6095,6219,6255
Pagosa Springs,1722,1715,1738,1758,1781,1814,1890,1959,2022,2072
Campo,109,108,107,105,103,102,101,98,102,102
Pritchett,140,139,137,134,132,131,130,126,131,131
Springfield,1454,1446,1426,1402,1376,1365,1356,1316,1368,1369
Two Buttes,43,43,42,41,40,40,40,39,40,40
Vilas,114,113,111,109,107,106,106,122,107,107
Walsh,547,543,534,525,515,511,508,493,512,512
Las Animas,2413,2367,2320,2256,2187,2218,2182,2179,2169,2153
Boulder,97919,100124,101580,103107,104934,107218,107626,106911,106459,106473
Jamestown,274,277,282,283,284,299,304,301,299,293
Lafayette,24550,24887,25817,26690,26960,27524,28149,28434,28945,30653
Louisville,18410,18599,19024,19516,20035,20342,20806,21200,21179,20806
Lyons,2038,2070,2096,2112,2013,2057,2068,2060,2066,2047
Nederland,1447,1462,1477,1486,1497,1518,1537,1544,1552,1540
Ward,150,152,153,154,153,155,156,156,165,162
Broomfield,56107,57381,58863,60053,61670,64780,66449,68182,69591,70762
Buena Vista,2615,2642,2661,2724,2733,2756,2796,2847,2876,2906
Poncha Springs,735,745,752,770,770,783,840,944,1039,1092
Salida,5233,5265,5292,5376,5368,5447,5607,5807,5956,6096
Cheyenne Wells,845,860,864,861,845,834,839,838,836,818
Kit Carson,233,236,237,236,232,228,233,233,232,227
Empire,283,281,282,282,284,290,293,302,302,306
Georgetown,1056,1012,1023,997,991,1033,1048,1068,1093,1110
Idaho Sprgs,1750,1746,1742,1743,1752,1771,1785,1825,1822,1828
Silver Plume,170,169,168,168,169,171,173,177,177,178
Antonito,783,781,775,769,769,751,746,751,749,746
La Jara,820,814,808,801,803,784,782,790,794,793
Manassa,994,991,988,984,989,970,968,980,984,987
Romeo,405,405,404,403,405,399,399,404,405,406
Sanford,881,880,876,870,873,855,854,865,867,869
Blanca,383,392,389,384,387,389,401,408,413,411
San Luis,624,637,634,628,633,635,656,669,676,672
Crowley,177,179,175,171,171,167,168,165,171,176
Olney Springs,347,352,343,336,335,328,330,324,336,346
Ordway,1085,1103,1077,1054,1050,1030,1035,1019,1053,1084
Sugar City,259,263,257,251,250,245,247,244,253,261
Silver Cliff,610,605,595,596,601,609,628,663,678,691
Westcliffe,450,441,440,442,450,455,468,493,494,500
Cedaredge,2248,2215,2211,2216,2177,2173,2207,2223,2259,2293
Crawford,430,423,423,423,415,413,419,421,425,419
Delta,8897,8770,8837,8837,8682,8710,8813,8861,8946,9034
Hotchkiss,942,927,926,926,909,903,917,924,932,943
Orchard City,3114,3071,3074,3076,3029,3012,3065,3094,3155,3190
Paonia,1450,1428,1427,1430,1408,1400,1420,1429,1470,1483
Denver,604879,622085,636635,650876,666071,684826,697744,706615,718184,729239
Dove Creek,734,710,676,673,645,636,652,642,637,632
Rico,264,256,244,244,233,232,238,234,232,231
City of Castle Pines,10407,10491,10626,10682,10735,10684,10716,10665,10573,10778
Castle Rock,48685,49771,51094,52744,55244,57186,59861,62924,64908,68309
Larkspur,184,187,191,191,192,195,200,203,203,207
Lone Tree,11415,11627,11976,13362,13618,14213,14439,15023,14821,14756
Parker,45605,46199,47143,48447,49580,51111,53309,54906,55847,57701
Avon,6425,6415,6454,6499,6547,6588,6644,6575,6516,6515
Eagle,6489,6508,6538,6578,6646,6729,6842,6839,6940,6962
Gypsum,6476,6488,6521,6683,6805,6916,7049,7440,7354,7582
Minturn,1027,1032,1040,1048,1054,1060,1075,1072,1076,1081
Red Cliff,266,265,266,268,273,285,287,280,286,285
Vail,5288,5275,5297,5341,5370,5490,5543,5482,5453,5419
Elizabeth,1358,1355,1357,1365,1382,1399,1409,1428,1437,1577
Kiowa,723,721,722,727,735,744,750,758,761,764
Simla,618,617,617,621,628,636,639,646,649,643
Calhan,784,795,803,806,805,809,820,825,830,832
Colorado Springs,420696,428547,433679,439139,443159,450488,459721,466134,473683,477975
Fountain,26313,26790,27157,28002,28442,28924,29508,29954,30604,30928
Manitou Springs,5022,5113,5193,5221,5207,5236,5287,5323,5359,5459
Monument,5564,5739,5837,5933,6009,6125,6266,6839,7458,7582
Palmer Lake,2433,2480,2522,2562,2595,2645,2706,2770,2840,2893
Ramah,124,125,126,126,126,127,128,129,129,131
Brookside,233,233,233,233,233,233,233,233,233,236
Canon City,16403,16353,16350,16150,16114,16173,16362,16501,16676,16581
Coal Creek,343,341,341,336,335,336,340,342,346,344
Florence,3880,3865,3862,3812,3803,3816,3871,3907,3938,3912
Rockvale,498,504,505,503,503,504,510,520,522,517
Williamsburg,662,659,663,654,651,668,676,685,696,707
Carbondale,6396,6391,6465,6484,6521,6608,6741,6791,6862,6892
Carbonate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Glenwood Springs,9572,9553,9662,9799,9801,9850,9970,9958,9988,9962
New Castle,4496,4489,4541,4540,4576,4636,4735,4800,5011,5198
Parachute,1084,1083,1098,1098,1098,1104,1214,1210,1216,1218
Rifle,9137,9126,9229,9232,9250,9320,9456,9446,9490,9483
Silt,2916,2914,2967,2972,2994,3029,3088,3108,3160,3193
Black Hawk,120,119,119,121,125,126,128,114,114,115
Fraser,1217,1194,1159,1167,1194,1218,1262,1286,1308,1335
Granby,1858,1839,1886,1923,1956,1998,2069,2106,2125,2167
Grand Lake,469,462,452,460,476,483,498,503,507,514
Hot Sulphur Springs,661,650,637,647,670,679,699,705,711,719
Kremmling,1440,1413,1381,1385,1389,1401,1434,1440,1440,1444
Winter Park,993,974,942,949,965,981,1018,1037,1054,1077
Crested Butte,1482,1497,1512,1529,1559,1602,1644,1691,1724,1763
Gunnison,5873,5931,5894,6079,6151,6273,6418,6575,6704,6825
Marble,131,131,131,131,134,136,139,144,147,152
Mount Crested Butte/G,798,801,802,805,815,836,850,868,874,884
Pitkin,66,67,67,68,69,70,71,73,73,74
Lake City,408,398,385,386,368,364,375,378,385,392
La Veta,793,771,772,758,751,751,770,773,806,801
Walsenburg,3045,2963,2968,2916,2880,2879,2951,2961,3053,3033
Walden,604,590,575,580,599,583,584,592,593,587
Edgewater,5177,5211,5251,5282,5329,5335,5369,5346,5363,5352
Golden,18929,19366,19418,19515,19975,20249,20337,20864,20593,20828
Lakeside,8,8,8,8,8,8,8,8,8,8
Lakewood,143310,144614,145882,147291,149312,151918,153756,154669,156496,158410
Morrison,428,430,432,434,436,438,439,438,437,436
Mountain View,508,511,515,521,528,534,536,539,539,536
Wheat Ridge,30205,30390,30775,30941,31153,31250,31473,31376,31383,31273
Eads,609,615,605,597,589,591,575,583,587,596
Haswell,68,71,70,69,68,68,66,67,67,68
Sheridan Lake,88,91,89,88,87,87,85,86,87,88
Bethune,237,240,239,236,237,236,234,232,235,234
Burlington,4253,4097,4018,4232,3962,4174,3634,3191,3192,3172
Flagler,561,568,566,560,560,558,554,549,551,553
Seibert,181,183,183,181,216,218,216,214,214,213
Stratton,658,666,663,657,657,654,650,645,644,641
Vona,106,107,107,106,106,105,105,104,104,103
Leadville,2592,2627,2601,2606,2631,2686,2746,2829,2862,2989
Bayfield,2357,2392,2440,2492,2532,2578,2632,2698,2722,2708
Durango,16889,16994,17268,17682,17770,18152,18491,18549,19114,19117
Ignacio,699,703,705,710,718,722,723,725,721,718
Estes Park,5884,5933,6002,6050,6107,6181,6278,6252,6271,6284
Fort Collins,144975,146593,149675,152571,156630,160947,163071,165880,168735,170318
Loveland,67008,69052,69977,70758,71856,74253,75632,76003,76872,77553
Wellington,6296,6390,6476,6667,7087,7664,8291,9352,9839,10177
Aguilar,534,517,513,485,469,468,469,473,481,481
Branson,73,71,71,67,64,64,64,65,66,66
Cokedale,128,125,124,119,116,116,116,118,119,120
Kim,73,71,71,67,64,64,64,65,66,66
Starkville,59,57,56,53,51,51,51,52,53,53
Trinidad,9033,8765,8702,8255,7995,7989,8002,8076,8243,8200
Arriba,193,192,192,191,194,196,199,199,199,204
Genoa,139,138,138,139,141,142,144,143,194,199
Hugo,730,718,716,715,722,729,734,733,731,767
Limon,1883,1873,1870,1863,1912,1931,1956,1942,1920,1973
Crook,110,109,109,108,108,108,107,107,107,109
Fleming,408,405,403,402,403,408,404,404,401,403
Iliff,266,264,263,261,263,264,262,260,264,265
Merino,284,284,283,280,281,282,279,277,276,277
Peetz,238,236,235,233,234,234,234,233,231,232
Sterling,14354,14212,14005,13863,14081,14073,14041,13973,13947,13976
Collbran,705,705,704,699,697,694,700,705,708,711
De Beque,500,501,501,495,493,490,493,496,504,508
Fruita,12695,12838,12878,12887,12975,13027,13151,13319,13440,13567
Grand Junction,60246,60724,60739,60987,60777,61473,62310,63242,64372,64941
Palisade,2726,2735,2755,2749,2742,2754,2769,2778,2801,2787
City of Creede,287,289,290,297,285,304,308,306,315,311
Craig,9468,9209,9029,8987,8846,8839,8974,8925,8975,9007
Dinosaur,339,329,323,321,316,316,320,322,325,325
Cortez,8484,8468,8477,8508,8496,8543,8652,8715,8743,8723
Dolores,936,931,931,934,935,944,956,962,963,966
Mancos,1337,1331,1335,1339,1346,1357,1398,1411,1418,1419
Montrose,19169,19059,18910,18824,18803,18771,18984,19223,19406,19698
Naturita,542,536,530,526,524,520,523,526,519,512
Nucla,706,700,697,692,696,692,696,703,701,694
Olathe,1837,1818,1796,1783,1777,1765,1775,1784,1799,1782
Brush,5468,5501,5453,5433,5398,5345,5385,5394,5441,5437
Fort Morgan,11326,11414,11318,11284,11203,11092,11185,11212,11313,11304
Hillrose,264,266,263,262,261,303,262,260,265,264
Log Lane Village,877,882,874,871,865,856,863,864,872,869
Wiggins,894,905,896,893,886,877,887,891,1001,1170
Cheraw,252,252,249,246,245,243,243,251,244,243
Fowler,1182,1181,1168,1157,1149,1141,1142,1146,1148,1140
La Junta,7083,7073,6999,6928,6882,6815,6820,6932,6916,6881
Manzanola,434,434,429,425,422,419,419,420,421,416
Rocky Ford,3958,3954,3911,3872,3846,3818,3821,3833,3840,3813
Swink,617,616,610,603,599,595,595,597,598,594
Ouray,1003,992,1006,1011,1008,1006,1038,1038,1024,1047
Ridgway,925,917,930,935,940,953,995,1008,1050,1083
Alma,271,270,271,275,281,288,300,312,324,326
Fairplay,683,679,681,691,699,714,741,764,800,804
Haxtun,950,939,944,934,935,930,922,923,914,916
Holyoke,2326,2289,2295,2286,2292,2256,2233,2238,2240,2244
Paoli,34,34,34,33,33,33,33,33,35,35
Aspen,6659,6652,6695,6757,6885,7206,7442,7418,7416,7366
Snowmass Village,2826,2827,2849,2875,2901,2874,2811,2802,2796,2764
Granada,516,514,510,506,495,489,489,491,494,498
Hartman,81,81,80,79,77,77,77,77,77,78
Holly,801,798,794,791,775,766,766,770,777,781
Lamar,7802,7777,7726,7659,7496,7415,7417,7442,7468,7509
Wiley,404,403,402,398,389,385,385,389,391,394
Boone,340,342,342,344,343,346,350,354,357,359
Pueblo,106881,106895,107253,107464,107669,108798,109950,110903,111598,112251
Rye,153,153,154,153,153,155,156,157,158,160
Meeker,2452,2498,2468,2435,2390,2334,2306,2280,2257,2258
Rangely,2349,2364,2422,2407,2375,2339,2320,2277,2288,2256
Del Norte,1688,1665,1652,1617,1590,1566,1564,1557,1547,1547
Monte Vista,4451,4405,4378,4293,4229,4167,4160,4139,4113,4111
South Fork,386,382,380,373,367,362,360,358,356,356
Hayden,1805,1790,1794,1822,1861,1878,1898,1929,1950,1962
Oak Creek,883,877,878,885,899,904,907,924,937,944
Steamboat Springs,12056,11965,11947,12121,12366,12520,12707,12946,13113,13195
Yampa,427,423,425,432,439,442,447,456,459,462
Bonanza City,16,16,14,12,10,8,6,4,4,4
Crestone,154,158,161,162,165,169,176,180,187,189
Moffat,116,116,118,116,114,114,117,119,121,117
Saguache,485,484,493,483,477,478,487,498,504,490
Silverton,646,630,633,630,648,627,628,647,693,660
Mountain Village,1313,1336,1353,1362,1391,1391,1420,1419,1433,1430
Norwood,517,525,531,533,545,549,561,564,573,575
Ophir,180,183,185,185,191,190,194,193,194,179
Sawpit,40,40,41,41,41,41,44,44,45,45
Telluride,2319,2373,2405,2423,2457,2478,2537,2543,2584,2582
Julesburg,1219,1219,1222,1201,1197,1218,1231,1184,1160,1143
Ovid,316,317,317,314,312,318,321,310,303,298
Sedgwick,145,145,146,143,142,145,146,141,137,135
Blue River,853,853,864,874,884,903,921,927,923,923
Breckenridge,4552,4550,4604,4678,4754,4881,4948,4947,4973,4947
Dillon,906,904,910,922,933,953,967,970,965,985
Frisco,2694,2712,2755,2824,2901,3007,3097,3152,3135,3159
Montezuma,65,65,65,66,66,68,68,68,68,68
Silverthorne,3904,3913,3955,4038,4262,4388,4537,4680,4773,4867
Cripple Creek,1193,1186,1185,1174,1173,1156,1186,1206,1217,1217
Victor,398,396,399,396,397,391,399,405,409,409
Woodland Park,7229,7175,7178,7132,7127,7203,7397,7673,7817,7932
Akron,1651,1627,1604,1615,1609,1623,1634,1657,1642,1642
Otis,458,452,445,448,446,450,454,463,459,460
Ault,1523,1539,1556,1577,1607,1635,1695,1761,1812,1843
Dacono,4176,4275,4348,4413,4568,4841,5227,5526,5724,5928
Eaton,4380,4446,4525,4624,4798,4937,5095,5266,5491,5707
Evans,18631,18956,19430,19701,19472,19900,20149,20451,20918,21140
Firestone,10177,10531,10813,11081,11426,11920,12838,13754,14349,15639
Fort Lupton,7446,7528,7618,7695,7798,7880,7988,8266,8271,8312
Frederick,8708,8964,9386,10135,10832,11411,12174,12819,13426,13943
Garden City,235,237,240,242,245,247,249,250,248,248
Gilcrest,1037,1045,1060,1070,1082,1089,1095,1104,1101,1101
Greeley,93167,94279,95195,96343,98364,101428,104319,106242,107719,108633
Grover,137,139,140,142,143,145,149,149,149,149
Hudson,2368,2384,2566,2586,1570,1585,1591,1657,1832,1891
Keenesburg,1130,1144,1160,1176,1189,1200,1207,1223,1225,1237
Kersey,1458,1473,1498,1536,1559,1585,1596,1619,1626,1637
La Salle,1965,1986,2008,2032,2054,2072,2143,2349,2337,2337
Mead,3436,3518,3742,3936,4055,4444,4522,4580,4660,4677
Milliken,5628,5702,5775,5883,6050,6354,6633,7042,7598,8113
Nunn,417,422,426,435,439,446,450,458,458,468
Pierce,836,878,920,964,1008,1050,1096,1150,1153,1153
Platteville,2492,2523,2560,2613,2714,2781,2929,3004,3002,3010
Raymer,96,97,98,99,100,103,105,106,105,107
Severance,3174,3252,3330,3397,3525,3730,4028,4255,4955,6235
Eckley,257,258,257,257,258,254,253,250,252,254
Wray,2340,2354,2349,2322,2335,2301,2298,2279,2272,2289
Yuma,3520,3538,3518,3591,3598,3540,3543,3512,3497,3524
Arvada,106798,107933,110038,111800,113748,115435,117766,119004,120403,120898
Aurora,326409,332887,339454,345513,352465,359145,362342,366470,373624,379859
Basalt,3849,3839,3855,3880,3899,3901,3934,4159,4162,4116
Bennett,2314,2350,2383,2416,2444,2480,2496,2484,2550,2857
Berthoud,5109,5164,5246,5347,5746,5933,6212,6772,7798,8939
Bow Mar,867,877,893,910,925,946,973,966,973,969
Brighton,33452,34070,34667,36245,36926,37973,38800,40158,41141,41664
Center,2229,2222,2261,2213,2182,2185,2223,2270,2290,2230
Central City,668,662,664,675,711,722,732,737,768,774
Erie,18454,19111,19713,20194,20881,21773,23045,24301,25545,27133
Green Mtn Falls,812,825,833,842,845,848,867,871,892,908
Johnstown,10096,10482,11016,11913,13004,13801,14258,14594,14838,15106
Littleton,41932,43104,43807,44440,44730,46212,46479,47700,47974,48140
Lochbuie,4803,5077,5210,5274,5363,5485,5804,6336,6800,7220
Longmont,86557,87565,88780,90103,90481,92147,93141,94550,96326,97273
Northglenn,35895,36439,36946,37457,38523,38855,39118,38944,38850,38608
Superior,12500,12609,12744,12799,12781,12923,13111,13051,13174,13078
Thornton,119764,122414,125010,127876,130612,133626,136522,138662,140961,142672
Timnath,640,800,1155,1510,1935,2386,2855,3226,3916,4915
Westminster,106462,107815,109189,110565,111806,112808,113477,113441,113519,113191
Windsor,18921,19400,20236,21544,22730,23610,24633,26625,28950,31815
Unincorp. Area,1346712,1359630,1372318,1385534,1401310,1418784,1436814,1451879,1468542,1479068
